,Food_Code,Portion_Default,Portion_Amount,Portion_Display_Name,Factor,Increment,Multiplier,Grains,Whole_Grains,Vegetables,Orange_Vegetables,Drkgreen_Vegetables,Starchy_vegetables,Other_Vegetables,Fruits,Milk,Meats,Soy,Drybeans_Peas,Oils,Solid_Fats,Added_Sugars,Alcohol,Calories,Saturated_Fats
Baked chicken breast (eat skin),24122110,1,1,medium breast,1,0.5,0.5,0,0,0,0,0,0,0,0,0,3.45646,0,0,0,0,0,0,191.1,2.1266
Baked chicken breast (no skin),24122120,1,1,medium breast,1,0.5,0.5,0,0,0,0,0,0,0,0,0,3.03322,0,0,0,0,0,0,141.04,0.86
Fried chicken breast (no skin),24124120,1,1,medium breast,1,0.5,0.5,0,0,0,0,0,0,0,0,0,2.9197,0,0,0,22.36086,0,0,158.24,0.903
Battered fried chicken breast,24127110,1,1,medium breast,1,0.5,0.5,1.0668,0,0,0,0,0,0,0,0.0112,3.451,0,0,0,102.8664,0,0,365.4,4.256
"Battered fried chicken breast, no skin",24127150,1,1,medium breast,1,0.5,0.5,0.84348,0,0,0,0,0,0,0,0.00756,2.61684,0,0,0,81.75492,0,0,252.72,2.2356
Baked chicken dark meat (eat skin),24132210,1,1,medium dark meat quarter,1,0.5,0.5,0,0,0,0,0,0,0,0,0,3.84066,0,0,0,46.89846,0,0,262.2,4.1952
Baked chicken dark meat (no skin),24132220,1,1,medium dark meat quarter,1,0.5,0.5,0,0,0,0,0,0,0,0,0,3.35065,0,0,0,0,0,0,179.55,2.1565
Baked chicken drumstick (no skin),24142220,1,1,medium drumstick,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1.55188,0,0,0,0,0,0,75.24,0.6424
Fried chicken drumstick (battered),24147210,1,1,medium drumstick,1,0.5,0.5,0.4752,0,0,0,0,0,0,0,0.00504,1.82016,0,0,0,57.90528,0,0,194.4,2.5776
Baked chicken thigh (no skin),24152220,1,1,medium thigh,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1.80336,0,0,0,8.18532,0,0,107.64,1.56
Fried chicken thigh (eat skin),24154210,1,1,medium thigh,1,0.5,0.5,0,0,0,0,0,0,0,0,0,2.015,0,0,0,38.6694,0,0,158.1,2.6102
Fried chicken thigh (no skin),24154220,1,1,medium thigh,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1.729,0,0,0,22.83372,0,0,111.28,1.2532
Fried chicken thigh (battered),24157210,1,1,medium thigh,1,0.5,0.5,0.68112,0,0,0,0,0,0,0,0.00774,2.03046,0,0,0,79.03314,0,0,239.08,3.6464
Fried chicken wing (no coating),24164110,1,1,medium wing,1,1,1,0,0,0,0,0,0,0,0,0,0.95168,0,0,0,42.60672,0,0,101.76,1.8304
Fried chicken wing (battered),24167110,1,1,medium wing,1,1,1,0.43463,0,0,0,0,0,0,0,0.0049,1.01087,0,0,0,71.56989,0,0,159.74,2.5725
Chicken patty or fillet (breaded),24198700,1,1,patty,1,0.5,0.5,0.8398,0,0,0,0,0,0,0,0,1.6264,0,0,1.6264,1.6264,0,0,225.72,3.05672
Chicken nuggets,24198740,1,1,fast food order-6 nuggets,1,0.5,0.5,0.7956,0,0,0,0,0,0,0,0,1.5408,0,0,2.55696,4.86648,0,0,216.72,3.1608
Roasted turkey (white meat),24201120,1,1,medium slice,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.98756,0,0,0,0,0,0,43.68,0.2856
Roasted turkey (white & dark meat),24201320,1,1,medium slice,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.98756,0,0,0,0,0,0,47.32,0.4564
Ground turkey,24207000,1,1,medium patty (4 per pound),1,0.5,0.5,0,0,0,0,0,0,0,0,0,2.0286,0,0,0,22.8366,0,0,139.8,2.016
Turkey bacon,24208500,1,1,"medium slice, cooked",1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.30833,0,0,0,22.88286,0,0,42.02,0.9119
Roasted duck,24301010,1,1,breast,1,0.5,0.5,0,0,0,0,0,0,0,0,0,2.1204,0,0,0,143.16804,0,0,255.36,7.3188
Roasted Cornish game hen,24401010,1,1,breast,1,1,1,0,0,0,0,0,0,0,0,0,3.5013,0,0,0,96.9903,0,0,284.9,5.522
Fried beef liver,25110140,1,1,slice,1,0.5,0.5,0,0,0,0,0,0,0,0,0,2.8883,0,0,0,12.7755,0,0,147.9,1.2495
Fried chicken liver,25110450,2,1,cup,1,0.25,0.25,0.8988,0,0,0,0,0,0,0,0,4.186,0,0,0,54.8226,0,0,372.4,4.718
Chicken liver pate,25112200,1,1,slice,1,0.5,0.5,0.13665,0,0,0,0,0,0,0,0,0.53667,0.00028,0,0,23.50442,0,0,56.9835,1.134
Low fat hot dog,25210230,1,1,hot dog,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1.98303,0,0,0,15.43104,0,0,92.34,2.2116
Hot dog (frankfurter),25210280,1,1,hot dog,1,0.5,0.5,0,0,0,0,0,0,0,0,0,1.63704,0,0,0.05193,110.02311,0.57442,0,174.99,5.3523
Bratwurst,25220350,1,1,brat,1,0.5,0.5,0,0,0,0,0,0,0,0,0,2.34005,0,0,0,170.595,0,0,281.35,8.602
Bologna,25220400,1,1,medium slice,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.78708,0,0,0,54.6336,0,0,85.96,2.8588
Low fat bologna,25220500,1,1,medium slice,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.87864,0,0,0,31.65372,0,0,64.4,2.0468
Pepperoni,25221250,1,1,slice,1,1,1,0,0,0,0,0,0,0,0,0,0.12771,0,0,0.00297,17.43439,0.06437,0,25.63,0.88495
Polish sausage,25221310,1,0.5,"cup, sliced",0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.13816,0,0,0,144.1831,0,0,234.05,7.48205
Breakfast sausage (brown & serve),25221470,1,1,patty,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.66933,0,0,0,74.05425,0,0,106.92,3.4992
Turkey sausage,25221850,1,1,medium slice (slice=1 oz),1,0.5,0.5,0,0,0,0,0,0,0,0,0,0.91392,0,0,0.00199,29.35044,0,0,58.52,1.2208
Vienna sausage,25221910,1,1,sausage,1,1,1,0,0,0,0,0,0,0,0,0,0.46528,0,0,0,27.26352,0,0,44.64,1.4848
Deli ham (regular),25230210,1,1,slice,1,1,1,0,0,0,0,0,0,0,0,0,0.98756,0,0,0,0,0,0,45.36,0.756
Deli ham (extra lean),25230230,1,1,slice,1,1,1,0,0,0,0,0,0,0,0,0,0.98756,0,0,0,0,0,0,36.68,0.4536
Deli chicken or turkey loaf,25230310,1,1,slice,1,1,1,0,0,0,0,0,0,0,0,0,0.9999,0,0,0.00019,0,0,0,42.525,0.56984
Deli sliced turkey or chicken breast,25230900,1,1,slice,1,1,1,0,0,0,0,0,0,0,0,0,0.9999,0,0,0,0,3.8569,0,29.484,0.13608
Deli sliced roast beef,25231110,1,1,slice,1,1,1,0,0,0,0,0,0,0,0,0,0.9999,0,0,0,0,0,0,50.1795,0.46778
Chicken salad spread,25240110,1,0.5,cup,0.5,0.25,0.5,0.66976,0,0,0,0,0,0,0,0,1.6172,0.00208,0,1.92284,9.88416,0,0,208,3.588
Ham salad spread,25240220,1,0.5,cup,0.5,0.25,0.5,0.35167,0,0,0,0,0,0,0,0,3.29659,0,0,0.41857,88.2679,0,0,273.24,6.4009
Baked fish,26100120,1,1,fillet,1,0.5,0.5,0,0,0,0,0,0,0,0.01469,0,3.71996,0,0,0,23.36049,0,0,142.38,0.7571
Fried fish (breaded or battered),26100150,1,1,fillet,1,0.5,0.5,0.68742,0,0,0,0,0,0,0,0.02278,3.28434,0,0,0,124.31448,0,0,266.66,3.082
Baked battered fish fillet,26100230,1,1,patty or fillet,1,0.5,0.5,0.97812,0,0,0,0,0,0,0,0.01368,1.05279,0.00513,0,0.00317,55.10646,3.71518,0,155.04,1.7955
Fried breaded fish fillet,26100240,1,1,patty or fillet,1,0.5,0.5,0.3477,0,0,0,0,0,0,0,0.00399,1.54698,0.00171,0,0.00114,50.4792,1.29707,0,125.97,1.2939
Anchovy,26101110,1,1,"2-ounce can, drained",1,0.25,0.25,0,0,0,0,0,0,0,0,0,1.5795,0,0,0.2094,0,0,0,94.5,0.99
Baked or broiled catfish,26107120,1,1,fillet,1,0.5,0.5,0,0,0,0,0,0,0,0.01008,0,2.05632,0,0,0.03696,16.19919,0,0,115.92,1.638
Fried catfish (breaded or battered),26107150,1,1,fillet,1,0.5,0.5,0.38475,0,0,0,0,0,0,0,0.01275,1.83975,0,0,0.037,69.5925,0,0,182.25,2.7375
Baked or broiled cod,26109120,1,1,fillet,1,0.5,0.5,0,0,0,0,0,0,0,0.01488,0,3.04203,0,0,0,23.89635,0,0,113.46,0.5859
Fried cod (breaded or battered),26109150,1,1,fillet,1,0.5,0.5,0.5841,0,0,0,0,0,0,0,0.0198,2.7918,0,0,0,70.7553,0,0,190.3,1.738
Baked or broiled flounder,26115120,1,1,fillet,1,0.5,0.5,0,0,0,0,0,0,0,0.0208,0,4.2536,0,0,0,33.462,0,0,172.9,1.118
Baked or broiled perch,26127120,1,1,fillet,1,0.5,0.5,0,0,0,0,0,0,0,0.01536,0,3.14112,0,0,0,24.68448,0,0,127.68,0.7104
Baked or broiled salmon,26137120,1,1,steak,1,0.5,0.5,0,0,0,0,0,0,0,0.02698,0,4.58802,0,0,0,43.68204,0,0,242.82,1.8602
Smoked salmon (lox),26137190,1,1,slice or piece,1,1,1,0,0,0,0,0,0,0,0,0,0.7054,0,0,0,0,0,0,23.4,0.186
Baked or broiled trout,26151120,1,1,medium trout,1,0.5,0.5,0,0,0,0,0,0,0,0.02608,0,5.33825,0,0,0,41.92686,0,0,306.44,3.8142
Baked or broiled tuna,26153120,1,1,steak,1,0.5,0.5,0,0,0,0,0,0,0,0.02384,0,4.88124,0,0,0,38.3526,0,0,227.97,1.2069
Canned tuna (in oil),26155180,1,0.5,"can, drained",0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.8216,0,0,1.2736,0,0,0,158.4,1.224
Canned tuna (in water),26155190,1,0.5,"can, drained",0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.94504,0,0,0,0,0,0,96.86,0.19205
Fried whiting (floured or breaded),26157140,1,1,fillet,1,0.5,0.5,0.5307,0,0,0,0,0,0,0,0.00609,2.36031,0.00261,0,0.00174,77.02371,1.97974,0,190.53,2.0619
Fried calamari (fried squid),26213140,1,0.25,cup,0.25,0.25,1,0.23663,0,0,0,0,0,0,0,0.00263,1.05338,0.00113,0,0.00075,22.4775,0.88381,0,73.875,0.6975
Fried clams (battered),26303150,1,0.5,cup (1 cup=8 medium clams),0.5,0.25,0.5,0.43758,0,0,0,0,0,0,0,0,1.31631,0.00102,0,0.00057,45.74394,0.69632,0,111.18,1.2138
"Steamed clams (oysters, mussels)",26303160,1,0.5,cup (1 cup=12 medium clams),0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.64525,0,0,0,0,0,0,69,0.0825
Steamed crab (hard shell),26305160,1,1,medium blue crab,1,1,1,0,0,0,0,0,0,0,0,0,1.69296,0,0,0,0,0,0,48.48,0.1056
Steamed or boiled crayfish,26309160,1,0.5,"cup, cooked",0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.4689,0,0,0,0,0,0,56.7,0.119
Steamed or boiled lobster,26311160,1,1,medium lobster tail,1,0.5,0.5,0,0,0,0,0,0,0,0,0,5.18469,0,0,0,0,0,0,142.59,0.147
Fried oysters (breaded or battered),26315150,1,1,large oyster,1,1,1,0.22308,0,0,0,0,0,0,0,0,0.67002,0.00052,0,0.00029,23.32746,0.35499,0,55.38,0.7696
Baked or broiled scallops,26317120,1,0.5,"cup, cooked",0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,3.18749,0,0,0,25.11526,0,0,124.74,0.61425
Fried scallops (floured or breaded),26317140,1,0.5,"cup, cooked",0.5,0.25,0.5,0.4087,0,0,0,0,0,0,0,0.00469,1.81838,0.00201,0,0.00134,59.32917,1.52463,0,145.39,1.4807
"Baked, broiled, or sauteed shrimp",26319120,1,0.5,"cup, cooked",0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.44543,0,0,0,19.2357,0,0,111.65,0.68875
Steamed or boiled shrimp,26319130,1,4,ounces after cooking,4,1,0.25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,154.56,0.4816
Fried shrimp (breaded or battered),26319140,1,4,ounces after cooking,4,1,0.25,0.96096,0,0,0,0,0,0,0,0,2.89856,0.00224,0,0.00124,100.4472,1.52918,0,274.4,2.9008
Spaghetti sauce (with meat),27111050,1,0.5,cup,0.5,0.25,0.5,0,0,0.46688,0,0,0,0.46688,0,0,0.71214,0,0,0.79486,20.81889,2.1248,0,140.685,2.07915
Chili con carne (with beans),27111410,1,0.5,cup,0.5,0.25,0.5,0,0,0.35052,0,0,0,0.35052,0,0,0.86868,0,0.14351,0,25.29459,2.12619,0,132.08,1.9939
Beef sloppy joe (no bun),27111500,1,0.5,cup,0.5,0.25,0.5,0,0,0.41792,0,0,0,0.41791,0,0,1.56248,0,0,0,46.06101,18.35889,0,185.74,3.5391
Salisbury steak with gravy,27112010,1,1,steak with gravy,1,0.5,0.5,0.6579,0,0.03612,0,0,0,0.03612,0,0.02709,1.80084,0.00903,0,0.02494,65.00439,0.96451,0,218.01,4.773
Teriyaki steak with sauce,27115100,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0.08906,0,2.61812,0,0,0.53572,0.17568,5.96879,0,226.92,2.806
Beef curry,27116100,1,0.5,cup,0.5,0.25,0.5,0,0,0.28792,0,0,0.00118,0.28674,0.02596,0,1.76292,0,0,0,109.57716,0,0,215.94,3.3748
Beef with BBQ sauce,27116200,1,0.5,cup,0.5,0.25,0.5,0.08416,0,0.00526,0,0,0,0.00526,0,0,3.56365,0,0,0.00058,4.734,4.95877,0,228.81,3.95815
Pork or ham with BBQ sauce,27120030,1,0.5,cup,0.5,0.25,0.5,0.0789,0,0.00526,0,0,0,0.00526,0,0,3.53077,0,0,0.00058,28.08445,4.70228,0,236.7,4.1554
Sweet & sour pork,27120060,1,0.5,cup,0.5,0.25,0.5,0.11752,0,0.1469,0,0,0.04746,0.09944,0.14351,0,0.77518,0,0,0.38671,2.18655,15.88747,0,115.26,1.0622
Sausage gravy,27120120,1,0.5,cup,0.5,0.25,0.5,0.2976,0,0,0,0,0,0,0,0.4068,0.5964,0,0,0,105.6888,0,0,187.2,4.2
Chicken cacciatore,27141000,1,1,breast with sauce,1,0.5,0.5,0.312,0,0.53,0,0,0,0.53,0,0,3.256,0,0,3.55,94.788,0,0,382,5.18
Chicken teriyaki,27145000,1,1,breast with sauce,1,0.5,0.5,0,0,0.0576,0,0,0,0.0576,0,0,3.1168,0,0,0,0,11.33879,0,190.72,0.9344
Chicken with BBQ sauce,27146000,1,1,breast with sauce,1,0.5,0.5,0.06273,0,0.00492,0,0,0,0.00492,0,0,3.46491,0,0,0.00055,22.4721,3.6986,0,233.7,3.0873
Buffalo wing (chicken wing & sauce),27146050,1,1,"wing ""drumette"" with sauce",1,1,1,0,0,0,0,0,0,0,0,0,0.7248,0,0,0.15451,23.37768,0,0,73.44,1.3488
Sweet & sour chicken,27146100,1,1,breast with sauce,1,0.5,0.5,0.424,0,0.532,0,0,0.172,0.36,0.52,0,3.128,0,0,6.284,0,56.64,0,356,1.64
Chicken curry,27146150,1,1,breast with sauce,1,0.5,0.5,0,0,0.45,0,0,0.002,0.488,0.042,0,3.298,0,0,0,89.334,0,0,248,2.7
Chicken cordon bleu,27146250,1,1,"roll (breast,ham, sauce)",1,0.5,0.5,0.63433,0,0.24045,0,0.00687,0,0.23587,0,0.38701,4.46321,0.00229,0,0.00204,204.55425,2.34496,0,501.51,15.4804
Chicken Parmigiana,27146300,1,1,"patty, sauce and cheese",1,0.5,0.5,0.82446,0,0.22568,0,0,0,0.22568,0,0.47684,3.05032,0.00364,0,1.18624,59.50854,2.12992,0,323.96,5.2598
Lemon chicken,27146350,1,0.5,cup,0.5,0.25,0.5,0.86814,0,0.01386,0,0,0.00126,0.0126,0.0378,0.0063,2.13948,0.00126,0,0.36036,110.80314,4.91521,0,335.16,4.725
Corned beef hash,27211400,1,0.5,cup,0.5,0.25,0.5,0,0,0.3949,0,0,0.3806,0.0143,0,0,1.1847,0,0,0,71.28,0,0,180.4,4.752
"Beef, tomato sauce & noodles",27212100,1,1,cup,1,0.25,0.25,0.8217,0,0.41085,0,0,0,0.41085,0,0,2.9133,0,0,0,2.64438,0,0,276.39,2.3406
Beef stroganoff with noodles,27212350,1,1,cup,1,0.25,0.25,1.088,0,0.32256,0,0,0,0.32256,0,0,2.26048,0.00256,0,0.91534,97.92,0,0,343.04,7.3472
"Meatloaf or meatball, no sauce",27214100,1,1,medium slice,1,0.5,0.5,0.40608,0,0.0648,0,0,0,0.0648,0,0.0648,2.43324,0,0,0.243,6.32016,0.1026,0,220.32,4.30488
Meatloaf or meatballs & tomato sauce,27214110,1,1,medium slice,1,0.5,0.5,0.41648,0,0.19043,0,0,0,0.19043,0,0.06713,2.51806,0,0,0.0551,61.68699,1.71463,0,239.75,4.6443
Chicken and rice with cream sauce,27243300,1,0.5,cup,0.5,0.25,0.5,0.59892,0,0.12276,0,0.0062,0,0.11656,0,0.15004,0.90272,0.00124,0,0.00551,46.28052,0,0,177.32,1.8724
Chicken and rice with tomato sauce,27243500,1,0.5,cup,0.5,0.25,0.5,0.45994,0,0.25,0,0,0,0.25,0,0,1.10898,0,0,0,0,0,0,113.46,0.3172
Chicken and dumplings,27246100,1,0.5,cup,0.5,0.25,0.5,0.83326,0,0,0,0,0,0,0,0,1.99958,0,0,0,34.8615,0,0,184.22,2.5254
Crab cake,27250040,1,1,cake,1,0.5,0.5,0,0,0.01764,0,0,0,0.01764,0,0,1.95237,0,0,0,31.53654,0,0,105.84,0.9639
Gefilte fish,27250060,1,1,piece,1,1,1,0.03196,0,0.01088,0,0,0,0.01088,0,0,2.18484,0,0,0.00068,0.20264,0.00748,0,76.84,0.48212
Imitation crabmeat,27250520,1,0.5,cup,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,2.22201,0,0,0,0,0,0,71.82,0.0567
Tuna noodle casserole,27250610,1,1,cup,1,0.25,0.25,1.82784,0,0,0,0,0,0,0,0.32704,2.24224,0.00224,0,1.11353,108.33984,2.36658,0,423.36,4.2112
"Beef stew, potatoes & vegetables",27311410,1,1,cup,1,0.25,0.25,0.24444,0,0.80492,0.189,0,0.5,0.11592,0,0,1.78416,0,0,0.50848,0,0,0,199.08,1.386
"Stir-fried beef, veggies & noodles",27313150,1,1,cup,1,0.25,0.25,1.27813,0,0.51429,0.0651,0.14973,0,0.29946,0,0,1.19567,0,0,0.90851,2.90997,0,0,223.51,1.3237
"Beef, veggies & noodles (tomato sauce)",27313220,1,1,cup,1,0.25,0.25,1.08813,0,0.55527,0,0,0.13197,0.4233,0,0,2.10903,0,0,0,2.57715,0,0,231.57,1.4691
Stuffed cabbage rolls (beef & rice),27315250,1,1,roll,1,0.5,0.5,0.16171,0,0.54899,0,0,0,0.54899,0,0,0.89301,0,0,0,25.44615,4.3863,0,117.42,1.9673
"Pork, veggies and noodles (tomato sauce)",27320070,1,1,cup,1,0.25,0.25,1.20516,0,0.56025,0.27888,0,0,0.28137,0,0.41832,2.50743,0.00249,0,0.00111,120.3417,1.53795,0,408.36,7.1961
"Stir-fried pork, vegetables & rice",27320320,1,1,cup,1,0.25,0.25,0.78337,0,0.43834,0.10199,0,0,0.33635,0,0,2.52588,0.00434,0,0,18.14337,0,0,245.21,2.7125
Sweet & sour pork on rice,27320500,1,1,cup,1,0.25,0.25,1.1468,0,0.21716,0,0,0.07076,0.1464,0.21228,0,1.16632,0,0,0.56933,2.59128,23.39926,0,268.4,1.6104
"Chicken, veggies & noodles (cream sauce)",27343480,1,1,cup,1,0.25,0.25,1.12224,0,0.53536,0,0,0,0.53536,0,0.07616,1.34624,0.00224,0,0,43.00128,0,0,250.88,2.3744
Chicken chow mein with noodles,27343910,1,1,cup,1,0.25,0.25,0.9592,0,0.836,0,0,0,0.836,0,0,1.5576,0.0022,0,0.69813,56.628,7.43783,0,275,2.398
Stir-fried chicken & veggies on rice,27345310,1,1,cup,1,0.25,0.25,0.70525,0,0.39928,0.22568,0.1519,0,0.0217,0,0.00434,1.38663,0.00651,0,0,62.08587,0.38798,0,234.36,2.8861
Chicken or turkey pot pie,27347100,1,1,"8-ounce pie (4-5"" across)",1,0.25,0.25,2.43798,0,0.37228,0.18387,0,0.18387,0.00681,0,0,1.46869,0.00227,0,0,220.25583,0,0,488.05,8.7849
"Gumbo (with rice, New Orleans type)",27363000,1,1,cup,1,0.25,0.25,0.488,0,0.57096,0,0,0,0.57096,0,0,1.36396,0.00732,0,0.74393,13.79088,0,0,192.76,1.6104
Jambalaya (with meat & rice),27363100,1,1,cup,1,0.25,0.25,0.8296,0,0.33184,0,0,0,0.33184,0,0,3.53556,0,0,0,105.80328,0,0,392.84,6.1732
Greens with ham or pork,27420080,1,0.5,cup,0.5,0.25,0.5,0,0,0.39096,0,0.39096,0,0,0,0,0.29448,0,0,0,6.77808,0,0,38.88,0.576
Stir-fried chicken and vegetables,27445110,1,0.5,cup,0.5,0.25,0.5,0.11745,0,0.2916,0.04779,0.08181,0.05508,0.10692,0,0,0.76221,0.00081,0,0.45882,5.78826,0,0,89.91,0.8505
General Tso chicken,27445150,1,0.5,cup,0.5,0.25,0.5,0.30806,0,0.09709,0,0.08906,0,0.00803,0,0.00219,0.83658,0.00146,0,0.40604,43.50654,8.66176,0,148.19,2.0002
Kung Pao chicken,27445220,1,0.5,cup,0.5,0.25,0.5,0.04617,0,0.16038,0,0,0,0.16038,0,0,1.82493,0,0,2.76048,0,3.54158,0,217.08,2.592
"Chicken salad (with celery, mayo)",27446200,1,0.5,cup,0.5,0.25,0.5,0,0,0.18837,0,0,0,0.18837,0,0,1.88916,0,0,2.67398,0.59787,0,0,208.39,2.821
"Tuna salad (with celery, mayo)",27450060,1,0.5,cup,0.5,0.25,0.5,0,0,0.19032,0,0,0,0.19032,0,0,2.02696,0,0,2.39547,0.53352,2.0454,0,191.36,1.7992
"Seafood salad (with tomatoes, dressing)",27450080,1,0.5,cup,0.5,0.25,0.5,0,0,0.1612,0,0.00208,0,0.15912,0,0,2.07792,0,0,2.35618,0,0,0,163.28,1.5808
"Tuna egg salad (with celery, mayo)",27450100,1,0.5,cup,0.5,0.25,0.5,0,0,0.16432,0,0,0,0.16432,0,0,1.97912,0,0,2.5926,5.86872,1.77494,0,203.84,2.2776
Stir-fried shrimp and vegetables,27450410,1,0.5,cup,0.5,0.25,0.5,0.03159,0,0.41877,0.09477,0.12798,0.04941,0.1458,0,0,0.86022,0.00081,0,0.45252,7.0713,0.80311,0,79.38,0.5184
"Chef salad, no dressing",27460490,1,1,cup,1,0.5,0.5,0,0,0.36404,0.01976,0,0,0.34428,0,0.13756,0.75544,0,0,0,24.03576,0,0,71.44,1.9228
Chopped chicken liver,27460710,1,0.25,cup,0.25,0.25,1,0,0,0.0806,0,0,0,0.0806,0,0,0.962,0,0,0,7.27896,0,0,117.52,2.78148
Liver and onions,27460750,1,1,slice with onions,1,0.5,0.5,0,0,0.25883,0,0,0,0.25883,0,0,3.01158,0,0,0,13.33332,0,0,177.32,1.3156
"Cheeseburger, plain on bun",27510210,1,1,cheeseburger,1,0.5,0.5,2.53269,0,0,0,0,0,0,0,0.23968,1.16951,0,0,0.39376,81.72018,12.17425,0,316.72,6.0776
Quarter pound cheeseburger on bun,27510240,1,1,quarter pound burger,1,0.5,0.5,3.14456,0,0,0,0,0,0,0,0.5152,2.6128,0,0,0.48903,179.94096,15.10322,0,552,12.8064
Double cheeseburger on double deck bun,27510300,1,1,double cheeseburger,1,0.5,0.5,3.28832,0,0.38304,0,0,0,0.38304,0,0.2576,2.17056,0,0,4.08228,126.06048,17.14862,0,620.48,11.648
Bacon cheeseburger on bun,27510360,1,1,cheeseburger,1,0.5,0.5,4.39488,0,0.47808,0,0,0,0.47808,0,0.4176,2.56608,0,0,2.11456,216.40608,21.86098,0,745.92,14.7168
"Hamburger, plain on bun",27510500,1,1,small hamburger on bun,1,0.5,0.5,2.52123,0,0,0,0,0,0,0,0,1.16436,0,0,0.39225,50.0526,12.10809,0,269.7,3.9432
Quarter pound hamburger on bun,27510530,1,1,quarter pounder,1,0.5,0.5,2.98272,0,0,0,0,0,0,0,0,2.75496,0,0,0.46384,118.25892,14.32628,0,458.64,8.6268
Double hamburger on bun,27510540,1,1,double hamburger,1,0.5,0.5,2.38292,0,0.27388,0,0,0,0.27388,0,0,2.20088,0,0,0.37028,94.49352,21.37856,0,383.76,6.9044
Meatball Sub,27510700,1,1,"6"" sub",1,0.25,0.25,2.44416,0,0.49044,0,0,0,0.49044,0,0.201,3.60192,0,0,0.58841,142.911,19.55876,0,611.04,11.0952
Roast beef sandwich,27513010,1,1,sandwich,1,0.5,0.5,2.22264,0,0,0,0,0,0,0,0,3.03849,0,0,0.29531,42.83874,9.10338,0,368.97,5.5272
Steak sandwich on roll,27515010,1,1,sandwich,1,0.5,0.5,2.20952,0,0,0,0,0,0,0,0,3.2092,0,0,0.34364,26.7741,10.61711,0,343.64,4.828
"Philly cheese steak (pepper, onion, roll)",27515070,1,1,submarine,1,0.25,0.25,3.02328,0,0.1938,0,0,0,0.1938,0,0.56508,2.82132,0,0,1.58168,56.51208,14.52327,0,485.52,7.6908
"Club sandwich (chicken, bacon, tomato)",27520130,1,1,sandwich,1,0.5,0.5,3.63588,0,0.36408,0,0,0,0.36408,0,0,2.69124,0,0,3.23517,48.22092,15.51412,0,546.12,5.3874
Ham sandwich with mayo,27520300,1,1,sandwich,1,0.5,0.5,2.016,0,0,0,0,0,0,0,0,1.94992,0,0,1.42514,13.88016,8.26483,0,271.04,2.8112
Chicken sandwich with mayo,27540110,1,1,sandwich,1,0.5,0.5,2.05408,0,0,0,0,0,0,0,0,1.9824,0,0,1.05006,0.17136,8.42867,0,265.44,1.6576
Fried chicken fillet sandwich,27540140,1,1,sandwich,1,0.5,0.5,2.08908,0,0,0,0,0,0,0,0,2.65356,0,0,0.30464,56.73402,9.42082,0,322.56,3.213
Fried fish sandwich with tartar sauce,27550000,1,1,regular sandwich,1,0.5,0.5,3.42066,0,0,0,0,0,0,0,0.00423,1.833,0.00141,0,1.55601,54.30051,18.86163,0,373.65,3.1161
"Corn dog (hot dog, cornbread coating)",27560300,1,1,corn dog,1,0.5,0.5,1.27072,0,0,0,0,0,0,0,0,1.11144,0,0,0,131.83632,8.9397,0,279.84,6.4944
Pig in a blanket (hot dog in dough),27560350,1,1,pig in a blanket,1,0.5,0.5,0.9673,0,0,0,0,0,0,0,0,1.06505,0,0,0.11617,165.87495,0,0,275.4,6.4855
Sausage biscuit,27560650,1,1,regular biscuit,1,0.5,0.5,2.1336,0,0,0,0,0,0,0,0,0.9128,0,0,0,236.71872,2.56683,0,437.92,12.8464
Beef sirloin frozen meal,28110270,1,1,regular meal,1,0.5,0.5,0.49608,0,0.89232,0.25896,0.25896,0.25896,0.11856,0,0,2.73312,0.00312,0,0.01387,28.02384,0,0,274.56,4.4304
Salisbury steak frozen meal,28110310,1,1,regular meal,1,0.5,0.5,0.73944,0,0.97656,0,0,0.78936,0.1872,0,0,2.1684,0,0,0,178.19568,0,0,461.76,13.0416
Fried chicken frozen meal,28141010,1,1,large meal (16 oz),1,0.5,0.5,1.6848,0.15444,0.90792,0,0,0.90324,0,0.45864,0.00936,4.88592,0,0,0,305.1594,33.39417,0,1024.92,12.168
